selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
147,diverse_fill,unique_unpredictable;high_composite,spreadsheetbench,208-20,spreadsheetbench/208-20,unique_unpredictable;high_composite,0.6724294871794871,0.7124294871794872,medium,0.5125,0.5948717948717949,0.8358974358974359,0.8475,16,0.4875,0.4875,0.4060095442227929,0.182833750317384,0.25309700028046295,0.25386975473116324,80.0,33.0,6.0,False,False,False,True,True
148,diverse_fill,unique_unpredictable;high_composite,deepsynth,40,deepsynth/40,unique_unpredictable;high_composite,0.6710044642857143,0.7110044642857143,medium,0.671875,0.5142857142857142,0.8571428571428571,0.725,16,0.328125,0.328125,0.3648496051457367,0.2322095039291475,0.21787626945437077,0.3185664446318859,18.0,6.0,2.0,False,False,False,True,True
149,diverse_fill,unique_unpredictable;high_composite,scicode,scicode-56,scicode/scicode-56,unique_unpredictable;high_composite,0.6705685763888888,0.7105685763888888,easy,0.24921875000000004,0.7638888888888888,0.8611111111111112,0.8375,16,0.75078125,0.75078125,0.3224802788907214,-0.0794408517495009,0.2412638079018957,0.21573969859932474,18.0,11.0,6.0,False,False,False,True,True
150,diverse_fill,high_composite,swebench-verified,django__django-16642,swebench-verified/django__django-16642,high_composite,0.7073400537634408,0.7073400537634408,medium,0.4125,0.8387096774193549,0.6666666666666666,0.96,16,0.5875,0.5875,0.4385701198212208,0.3458784005891916,0.3382278726836595,0.11669464233918514,16.0,32.0,1.0,False,False,False,False,True
151,diverse_fill,high_composite,bixbench,bix-47-q2,bixbench/bix-47-q2,high_composite,0.7070705128205128,0.7070705128205128,medium,0.625,0.7948717948717948,0.5384615384615384,0.92,16,0.375,0.375,0.3799671038392666,0.2548237386663018,0.2582115947049314,0.18555993113272407,9.0,19.0,1.0,False,False,False,False,True
152,diverse_fill,unique_unpredictable;high_composite,terminal-bench,log-summary-date-ranges,terminal-bench/log-summary-date-ranges,unique_unpredictable;high_composite,0.6664741479964802,0.7064741479964802,medium,0.3843749999999999,0.6144578313253012,0.9156626506024096,0.8426966292134831,16,0.6156250000000001,0.6156250000000001,0.3998901216271789,-0.2481810230808172,0.24033426915125897,0.2727147999473768,33.0,8.0,5.0,False,False,False,True,True
153,diverse_fill,difficult;unique_unpredictable;high_composite,mmau,adcc613e-3c79-4478-8f08-d408984265a6,mmau/adcc613e-3c79-4478-8f08-d408984265a6,difficult;unique_unpredictable;high_composite,0.6174565217391303,0.6974565217391304,hard,0.75,0.1956521739130435,0.9239130434782609,0.87,16,0.25,0.25,0.3968626966596886,0.1626500386193118,0.06537882359783423,0.35886933521465425,75.0,8.0,9.0,False,True,False,True,True
154,diverse_fill,difficult;high_composite,devopsgym,testgen__minio__minio-12469,devopsgym/testgen__minio__minio-12469,difficult;high_composite,0.65625,0.69625,hard,0.825,0.5,0.5,1.0,13,0.175,0.2153846153846154,0.2983187604563895,0.1603800763623531,,,,,1.0,False,True,False,False,True
155,diverse_fill,difficult;unique_unpredictable;high_composite,swtbench,sympy__sympy-13877,swtbench/sympy__sympy-13877,difficult;unique_unpredictable;high_composite,0.6159260204081632,0.6959260204081633,hard,0.7375,0.24489795918367346,0.8673469387755102,0.86,15,0.2625,0.28,0.3850541087518307,0.1788612211620558,0.1284502028453294,0.3530725632689451,38.0,7.0,7.0,False,True,False,True,True
156,diverse_fill,difficult;high_composite,swegym,project-monai__monai-4925,swegym/project-monai__monai-4925,difficult;high_composite,0.65,0.6900000000000001,frontier,1.0,0.5,0.5,0.6666666666666666,14,0.0,0.0,0.0,,,,,,1.0,False,True,False,False,True
157,diverse_fill,unique_unpredictable;high_composite,research-code-bench,siss_compute_loss_terms,research-code-bench/siss_compute_loss_terms,unique_unpredictable;high_composite,0.6250429097105601,0.6650429097105601,medium,0.6375,0.4607329842931937,0.9162303664921466,0.5023584905660378,16,0.3625,0.3625,0.4484347778663024,0.2087195475586272,0.39858299066322594,0.05636321308077763,104.0,17.0,25.0,False,False,False,True,True
158,diverse_fill,difficult;unique_unpredictable,sldbench,easy_question_scaling_law,sldbench/easy_question_scaling_law,difficult;unique_unpredictable,0.545601875,0.6256018750000001,hard,0.9324075000000001,0.125,1.0,0.125,16,0.0675925,0.0675925,0.1045176693608549,0.16697961142638,0.007137910270855265,0.5007743636335584,8.0,1.0,3.0,False,True,False,True,False
159,diverse_fill,high_composite,financeagent_terminal,financeagent-3,financeagent_terminal/financeagent-3,high_composite,0.6224583333333333,0.6224583333333333,medium,0.375,0.7916666666666666,0.5625,0.74,16,0.625,0.625,0.4054318685056713,0.0159214107338684,0.3668369519983491,0.09105477440079046,11.0,22.0,2.0,False,False,False,False,True
160,diverse_fill,high_composite,featbench,conan-io__conan-18489,featbench/conan-io__conan-18489,high_composite,0.5303240740740741,0.5303240740740741,medium,0.42500000000000004,0.5,0.5,0.8271604938271605,16,0.575,0.575,0.4115519408288582,-0.0156842728954225,,,,,1.0,False,False,False,False,True
